transaction_id,date,customer_id,product_id,product_category,region,amount,tax,total_revenue
TRX-10001,2025-05-11,CUST-728,PROD-2800,Home & Garden,Asia Pacific,26.64,2.13,28.77
TRX-10002,2025-02-11,CUST-669,PROD-4799,Electronics,Asia Pacific,245.82,19.67,265.49
TRX-10003,2025-04-27,CUST-724,PROD-3750,Electronics,North America,327.87,26.23,354.1
TRX-10004,2025-09-10,CUST-794,PROD-4238,Clothing,Asia Pacific,413.54,33.08,446.62
TRX-10005,2025-10-01,CUST-915,PROD-1845,Sports,Europe,403.66,32.29,435.95
TRX-10006,2025-01-26,CUST-360,PROD-1818,Clothing,North America,178.96,14.32,193.28
TRX-10007,2025-07-02,CUST-734,PROD-4120,Home & Garden,Asia Pacific,271.22,21.7,292.92
TRX-10008,2025-11-21,CUST-843,PROD-3305,Clothing,North America,428.98,34.32,463.3
TRX-10009,2025-11-21,CUST-354,PROD-1027,Clothing,Latin America,21.43,1.71,23.14
TRX-10010,2025-07-26,CUST-458,PROD-1319,Clothing,Europe,31.16,2.49,33.65
TRX-10011,2025-03-09,CUST-635,PROD-2918,Electronics,Asia Pacific,323.56,25.88,349.44
TRX-10012,2025-04-03,CUST-833,PROD-1852,Home & Garden,Asia Pacific,101.54,8.12,109.66
TRX-10013,2025-12-24,CUST-641,PROD-4740,Toys,Latin America,411.23,32.9,444.13
TRX-10014,2025-04-25,CUST-644,PROD-4413,Clothing,North America,117.92,9.43,127.35
TRX-10015,2025-12-17,CUST-836,PROD-2962,Toys,Europe,256.93,20.55,277.48
TRX-10016,2025-10-14,CUST-408,PROD-3450,Electronics,North America,273.49,21.88,295.37
TRX-10017,2025-04-21,CUST-861,PROD-1320,Home & Garden,Asia Pacific,357.78,28.62,386.4
TRX-10018,2025-06-17,CUST-796,PROD-4062,Clothing,Asia Pacific,477.16,38.17,515.33
TRX-10019,2025-03-13,CUST-700,PROD-3668,Clothing,Europe,105.36,8.43,113.79
TRX-10020,2025-12-31,CUST-980,PROD-4261,Electronics,Latin America,11.11,0.89,12.0
TRX-10021,2025-05-27,CUST-895,PROD-1887,Toys,Asia Pacific,368.29,29.46,397.75
TRX-10022,2025-08-18,CUST-644,PROD-1056,Toys,Latin America,443.01,35.44,478.45
TRX-10023,2025-03-04,CUST-777,PROD-4716,Home & Garden,Europe,471.64,37.73,509.37
TRX-10024,2025-08-17,CUST-766,PROD-2668,Sports,North America,416.1,33.29,449.39
TRX-10025,2025-06-10,CUST-749,PROD-3669,Electronics,North America,469.37,37.55,506.92
TRX-10026,2025-11-28,CUST-579,PROD-1684,Sports,North America,64.69,5.18,69.87
TRX-10027,2025-03-25,CUST-944,PROD-2486,Electronics,Latin America,172.53,13.8,186.33
TRX-10028,2025-11-29,CUST-922,PROD-4304,Sports,Latin America,299.57,23.97,323.54
TRX-10029,2025-03-06,CUST-541,PROD-3668,Home & Garden,Asia Pacific,54.32,4.35,58.67
TRX-10030,2025-02-01,CUST-659,PROD-3622,Sports,Asia Pacific,205.28,16.42,221.7
TRX-10031,2025-09-23,CUST-345,PROD-4356,Home & Garden,Latin America,255.74,20.46,276.2
TRX-10032,2025-03-24,CUST-259,PROD-4568,Clothing,Europe,436.66,34.93,471.59
TRX-10033,2025-05-13,CUST-639,PROD-2939,Sports,Europe,183.56,14.68,198.24
TRX-10034,2025-10-22,CUST-657,PROD-1806,Sports,Europe,253.05,20.24,273.29
TRX-10035,2025-12-01,CUST-514,PROD-3385,Home & Garden,Europe,136.17,10.89,147.06
TRX-10036,2025-03-31,CUST-243,PROD-1236,Clothing,North America,144.49,11.56,156.05
TRX-10037,2025-04-28,CUST-713,PROD-2399,Electronics,North America,472.99,37.84,510.83
TRX-10038,2025-07-11,CUST-862,PROD-4989,Toys,Asia Pacific,357.62,28.61,386.23
TRX-10039,2025-01-30,CUST-769,PROD-3426,Home & Garden,Latin America,207.28,16.58,223.86
TRX-10040,2025-10-14,CUST-224,PROD-2228,Electronics,Asia Pacific,440.5,35.24,475.74
TRX-10041,2025-02-06,CUST-114,PROD-1305,Home & Garden,Europe,360.7,28.86,389.56
TRX-10042,2025-12-06,CUST-898,PROD-4740,Home & Garden,North America,393.44,31.48,424.92
TRX-10043,2025-10-10,CUST-236,PROD-4944,Toys,Asia Pacific,48.61,3.89,52.5
TRX-10044,2025-06-13,CUST-800,PROD-1012,Sports,Europe,248.91,19.91,268.82
TRX-10045,2025-08-31,CUST-628,PROD-1745,Electronics,Asia Pacific,161.08,12.89,173.97
TRX-10046,2025-05-10,CUST-799,PROD-2241,Clothing,Latin America,245.71,19.66,265.37
TRX-10047,2025-05-24,CUST-118,PROD-1266,Home & Garden,North America,209.93,16.79,226.72
TRX-10048,2025-06-02,CUST-944,PROD-3884,Electronics,Asia Pacific,467.98,37.44,505.42
TRX-10049,2025-09-15,CUST-533,PROD-1697,Clothing,North America,111.43,8.91,120.34
TRX-10050,2025-09-23,CUST-414,PROD-4262,Electronics,Latin America,330.68,26.45,357.13
TRX-10051,2025-04-14,CUST-693,PROD-1335,Toys,Latin America,426.17,34.09,460.26
TRX-10052,2025-10-17,CUST-312,PROD-1189,Sports,Europe,391.01,31.28,422.29
TRX-10053,2025-07-27,CUST-230,PROD-4867,Toys,Asia Pacific,160.86,12.87,173.73
TRX-10054,2025-03-20,CUST-578,PROD-3794,Clothing,Europe,223.72,17.9,241.62
TRX-10055,2025-09-21,CUST-820,PROD-2879,Toys,Europe,370.07,29.61,399.68
TRX-10056,2025-01-26,CUST-822,PROD-4923,Sports,Latin America,463.33,37.07,500.4
TRX-10057,2025-01-07,CUST-738,PROD-4178,Electronics,North America,46.54,3.72,50.26
TRX-10058,2025-09-26,CUST-137,PROD-1786,Toys,North America,12.13,0.97,13.1
TRX-10059,2025-09-09,CUST-621,PROD-3019,Toys,Asia Pacific,241.23,19.3,260.53
TRX-10060,2025-04-04,CUST-404,PROD-1802,Home & Garden,Asia Pacific,156.68,12.53,169.21
TRX-10061,2025-12-17,CUST-482,PROD-4576,Home & Garden,Europe,104.3,8.34,112.64
TRX-10062,2025-02-27,CUST-296,PROD-3888,Home & Garden,Latin America,498.58,39.89,538.47
TRX-10063,2025-01-25,CUST-548,PROD-1797,Toys,Europe,412.26,32.98,445.24
TRX-10064,2025-05-20,CUST-352,PROD-2212,Sports,Latin America,223.23,17.86,241.09
TRX-10065,2025-10-18,CUST-439,PROD-3417,Sports,Latin America,252.05,20.16,272.21
TRX-10066,2025-12-30,CUST-889,PROD-2943,Home & Garden,Asia Pacific,203.31,16.26,219.57
TRX-10067,2025-12-04,CUST-208,PROD-4103,Home & Garden,Asia Pacific,276.8,22.14,298.94
TRX-10068,2025-07-14,CUST-721,PROD-2011,Clothing,North America,460.44,36.84,497.28
TRX-10069,2025-06-17,CUST-120,PROD-3625,Clothing,Asia Pacific,58.95,4.72,63.67
TRX-10070,2025-12-05,CUST-119,PROD-4949,Sports,Latin America,290.26,23.22,313.48
TRX-10071,2025-12-17,CUST-706,PROD-4572,Sports,North America,458.17,36.65,494.82
TRX-10072,2025-02-08,CUST-281,PROD-2080,Clothing,North America,181.78,14.54,196.32
TRX-10073,2025-02-14,CUST-331,PROD-2842,Clothing,Asia Pacific,462.23,36.98,499.21
TRX-10074,2025-02-24,CUST-698,PROD-3624,Home & Garden,Asia Pacific,216.66,17.33,233.99
TRX-10075,2025-08-25,CUST-268,PROD-2727,Home & Garden,Latin America,83.14,6.65,89.79
TRX-10076,2025-07-11,CUST-281,PROD-3991,Toys,Asia Pacific,250.03,20.0,270.03
TRX-10077,2025-07-27,CUST-553,PROD-1847,Electronics,North America,275.13,22.01,297.14
TRX-10078,2025-04-24,CUST-376,PROD-2898,Toys,North America,247.9,19.83,267.73
TRX-10079,2025-10-23,CUST-255,PROD-3498,Toys,Asia Pacific,175.4,14.03,189.43
TRX-10080,2025-01-17,CUST-929,PROD-2059,Clothing,Europe,422.69,33.82,456.51
TRX-10081,2025-10-16,CUST-367,PROD-4005,Toys,North America,428.77,34.3,463.07
TRX-10082,2025-11-15,CUST-410,PROD-3653,Home & Garden,Latin America,412.12,32.97,445.09
TRX-10083,2025-06-18,CUST-509,PROD-1251,Clothing,North America,462.14,36.97,499.11
TRX-10084,2025-03-23,CUST-885,PROD-2050,Sports,Europe,366.55,29.32,395.87
TRX-10085,2025-05-23,CUST-979,PROD-4029,Sports,North America,369.12,29.53,398.65
TRX-10086,2025-01-08,CUST-265,PROD-2399,Home & Garden,Asia Pacific,137.86,11.03,148.89
TRX-10087,2025-01-26,CUST-548,PROD-3889,Home & Garden,Europe,89.58,7.17,96.75
